Item,Price
10 Pieces McNuggets Meal,$8.89
20 Pieces McNuggets,$6.89
40 Pieces McNuggets,$12.39
French Fries,$3.59
Regular Oreo McFlurry,$4.29
Coke,$1.79
Iced Pumpkin Coffee,$2.69
Premium Roast Coffee,$1.99
Decaf Coffee,$1.99
Hot Tea,$1.29
Iced Coffee,$2.69
Iced Caramel Coffee,$2.69
Iced French Vanilla Coffee,$2.69
Premium Hot Chocolate,$2.79
Caramel Hot Chocolate,$2.79
Mocha Frappe,$3.99
Caramel Frappe,$3.99
Caramel Macchiato,$3.29
Iced Caramel Macchiato,$2.29
Mocha,$3.49
Caramel Mocha,$3.49
Iced Mocha,$3.49
Iced Caramel Mocha,$3.49
Pumpkin Latte,$3.29
Latte,$3.29
Caramel Latte,$3.29
Hazelnut Latte,$3.29
French Vanilla Latte,$3.29
Iced Pumpkin Latte,$3.29
Iced Latte,$3.29
Iced Hazelnut Latte,$3.29
Iced Caramel Latte,$3.29
Iced French Vanilla Latte,$3.29
Cappuccino,$3.29
Vanilla Cappuccino,$3.29
Hazelnut Cappuccino,$3.29
Caramel Cappuccino,$3.29
Americano,$2.79
Cheese Danish,$2.59
Blueberry Muffin,$2.69
Apple Fritter,$2.59
Cinnamon Roll,$3.19
1 Cookie,$1.99
3 Pack Of Cookies,$2.49
13 Cookie Tote,$5.89
Apple Pie,$1.59
Cherry & Creme Pie,$1.89
Blueberry & Creme Pie,$2.49
Holiday Pie,$1.59
Creamer Packet,$0.00
Sugar Packet,$0.00
Equal Packet,$0.00
Pepper Packet,$0.00
Salt Packet,$0.00
Splenda Packet,$0.00
Tangy BBQ Dipping Sauce,$0.00
Ketchup Packet,$0.00
Sweet N Sour Dipping Sauce,$0.00
Honey Packet,$0.00
Hot Mustard Dipping Sauce,$0.00
Creamy Ranch Sauce,$0.00
Mustard Packet,$0.00
Honey Mustard Packet,$0.00
Spicy Buffalo,$0.00
Syrup,$0.20
Butter,$0.00
Grape Jam,$0.00
Strawberry Preserve,$0.00
Hot Picante Salsa,$0.00
Mild Picante Salsa,$0.00
Mayonnaise Packet,$0.00
Ranch Dressing,$0.00
Southwest Dressing,$0.00
Apple Slices,$0.89
3 Half Strips Bacon,$2.39
Chocolate Shake,$3.69
Strawberry Shake,$3.69
Vanilla Shake,$3.69
Oreo Fudge McFlurry,$4.29
Regular M&M McFlurry,$4.29
Regular Oreo McFlurry,$4.29
Caramel Sundae,$3.49
Hot Fudge Sundae,$3.49
Plain Sundae,$3.49
Hi-C Orange,$1.79
Coke,$1.79
Diet Coke,$1.79
Sprite,$1.79
Fanta Orange,$1.79
Dr. Pepper,$1.79
Hawaiian Punch,$1.79
Root Beer,$1.79
Minute Maid Orange Juice,$3.29
Dassani Bottled Water,$1.49
Milk,$1.49
Chocolate Milk,$1.49
Honest Kids Organic Apple Juice,$1.49
Frozen Coca Cola,$2.09
Frozen Fanta (Blue Raspberry),$2.09
Frozen Fanta (Wild Cherry),$2.09
Sweet Iced Tea,$1.49
Hot Tea,$1.29
Unsweetened Iced Tea,$1.49
Strawberry Banana Smoothie,$3.69
Mango Pineapple Smoothie,$3.69
Smoky BLT Quarter Pounder With Cheese,$7.19
Double Smoky BLT Quarter Pounder With Cheese,$9.19
Crispy Chicken Sandwich,$4.79
Spicy Crispy Chicken Sandwich,$4.99
Deluxe Crispy Chicken Sandwich,$5.59
Spicy Deluxe Crispy Chicken Sandwich,$5.99
Big Mac,$4.79
Quarter Pounder With Cheese,$5.19
Double Bacon Quarter Pounder With Cheese,$8.19
Double Quarter Pounder With Cheese,$7.09
Cheeseburger,$2.09
Double Cheeseburger,$2.99
Triple Cheeseburger,$4.49
Bacon Quarter Pounder With Cheese,$6.19
Quarter Pounder With Cheese Deluxe,$5.69
Hamburger,$1.99
Double Hamburger,$2.59
Double Quarter Cheese Deluxe,$6.89
Bacon McDouble,$3.29
Daily Double,$2.99
McDouble,$2.59
Filet O Fish,$4.89
McChicken,$3.09
Hot & Spicy McChicken,$3.19